Key,Name,Organization ID,Tags,Ideas
google/gsoc2013/nrnb,National Resource for Network Biology (NRNB),nrnb,"wiki, mediawiki, biology, java, bigdata, php, javascript, actionscript, jquery, web, web services, database, data, cytoscape, wikipathways, pathvisio, visualization, science, vcell, simulation, pathways, networks",http://nrnb.org/gsoc/index.html#ideas-tab
google/gsoc2013/netfilter,Netfilter Project,netfilter,"Linux kernel, C, networking, firewall",http://1984.lsi.us.es/~pablo/nf-ideas.txt
google/gsoc2013/networktime,Network Time Foundation,networktime,"ntp, ptpd, linuxptp, radclock, gpsd, network time",http://wiki.nwtime.org/Main/GoogleSummerOfCode
google/gsoc2013/nmap,Nmap Security Scanner,nmap,"security, networking, network, ipv6, lua, c++, c, python, gui, linux, windows, apple, mac os x, root, packets, hacking, fun, nmap, cryptography, crypto",http://nmap.org/soc/
google/gsoc2013/ogdf,OGDF - Open Graph Drawing Framework,ogdf,"graph drawing, graph algorithms, visualization, C++, Python, Java",http://www.ogdf.net/doku.php/gsoc2013-ideas
google/gsoc2013/ogre,OGRE (Object-Oriented Graphics Rendering Engine),ogre,,http://www.ogre3d.org/tikiwiki/tiki-index.php?page=Help+Requested
google/gsoc2013/openlighting,Open Lighting Project,openlighting,C++ lighting Python DMX512 RDM control-systems network,http://www.opendmx.net/index.php/OLA_SOC_Ideas_Page
google/gsoc2013/onlab,Open Networking Lab,onlab,"openflow, sdn, flowvisor, internet, mininet, network, virtualization, Java, Python, Coolness",http://onlab.us/careers.html
google/gsoc2013/opencv,Open Source Computer Vision Library (OpenCV),opencv,"Computer Vision, Machine Learning, Mobile Vision",http://code.opencv.org/projects/gsoc2013/wiki
google/gsoc2013/osrf,Open Source Robotics Foundation,osrf,"Robotics, Gazebo, ROS, CloudSim",http://wiki.osrfoundation.org/gsoc13
google/gsoc2013/openmrs,OpenMRS,openmrs,"medical_records, health, clinics, ehealth, hospitals, hfoss, healthcare, emr, ehr, hl7, mhealth, africa, developing_world, poverty, global_health, dojo, spring, api, mysql, internationalization, l8n, mrs, i10n, openmrs, hr, human_resources, xml, hibernate, localization, search, localisation, statistics, java, maven, ict4d, phr, tomcat, database, internationalisation, ",http://go.openmrs.org/soc2013
google/gsoc2013/opennms,OpenNMS,opennms,"opennms, nms, java, spring, rest, osgi, activemq",http://www.opennms.org/wiki/Google_Summer_of_Code_2013
google/gsoc2013/opensuse,openSUSE,opensuse,"opensuse, owncloud, hedgewars, syslog-ng, ftix, oyranus, cloud, android, virtualization, development, hedgewars, pascal, ai",https://en.opensuse.org/openSUSE:GSOC_ideas
google/gsoc2013/openwall,Openwall,openwall,"assembler, bitslice, c, cryptography, cuda, distributed-processing, fpga, gpu, hpc, opencl, openmp, parallel-processing, parallella, password, scrypt, security, simd, xeon-phi",http://openwall.info/wiki/ideas
google/gsoc2013/osuosl,Oregon State University Open Source Lab (OSUOSL),osuosl,"virtualization, kvm, xen, django, twistd, osuosl, ganeti, ganeti web manager, gwm, python, bash",http://wiki.osuosl.org/soc/ideas2013
google/gsoc2013/osgeo,OSGeo - Open Source Geospatial Foundation,osgeo,"postgres, c, gis, live-disc, algorithm, java, c#, graph, javascript, mapping, maps, c++, ajax, geospatial, mysql, http, php, geo, mssql, 3d, osm, openstreetmap, cartography, science",http://wiki.osgeo.org/wiki/Google_Summer_of_Code_2013_Ideas
google/gsoc2013/owasp,OWASP,owasp,"application security, security, java, .net, php, jsp, aspx, asp, javascript, android, ios, iphone, HTML5, ruby",https://www.owasp.org/index.php/GSoC2013_Ideas
